Code,prevValue,closeValue,changePrice,changePercentage,avgDailyMovePct,avgAbsDailyMovePct,jumlahHariData,Sektor,SubSektor
AADI,7875.0,8950.0,1075.0,13.65,0.762,0.998,18,Energi,"Minyak, Gas & Batu Bara"
AALI,5975.0,6525.0,550.0,9.21,0.525,0.836,18,Barang Konsumen Primer,Makanan & Minuman
ABBA,30.0,30.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Media & Hiburan
ABDA,3310.0,3430.0,120.0,3.63,0.213,0.487,18,Keuangan,Asuransi
ABMM,2250.0,2520.0,270.0,12.0,0.674,1.002,18,Energi,"Minyak, Gas & Batu Bara"
ACES,324.0,358.0,34.0,10.49,0.603,1.42,18,Barang Konsumen Non-Primer,Perdagangan Ritel
ACRO,58.0,61.0,3.0,5.17,0.343,1.882,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
ACST,76.0,90.0,14.0,18.42,1.013,1.318,18,Infrastruktur,Konstruksi Bangunan
ADCP,50.0,50.0,0.0,0.0,0.0,0.0,17,Properti & Real Estat,Properti & Real Estat
ADES,33850.0,36100.0,2250.0,6.65,0.399,1.709,18,Barang Konsumen Primer,Makanan & Minuman
ADHI,150.0,162.0,12.0,8.0,0.497,2.098,18,Infrastruktur,Konstruksi Bangunan
ADMF,7950.0,8225.0,275.0,3.46,0.203,0.599,18,Keuangan,Jasa Pembiayaan
ADMG,199.0,214.0,15.0,7.54,0.482,1.8,18,Barang Baku,Barang Baku
ADMR,1380.0,1495.0,115.0,8.33,0.495,1.665,18,Energi,"Minyak, Gas & Batu Bara"
ADRO,2260.0,2520.0,260.0,11.5,0.657,1.465,18,Energi,"Minyak, Gas & Batu Bara"
AEGS,37.0,43.0,6.0,16.22,0.958,2.702,18,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
AGAR,202.0,630.0,428.0,211.88,7.942,8.421,17,Barang Konsumen Primer,Makanan & Minuman
AGII,2500.0,2880.0,380.0,15.2,0.978,3.813,18,Barang Baku,Barang Baku
AGRO,133.0,147.0,14.0,10.53,0.607,1.392,18,Keuangan,Bank
AGRS,58.0,61.0,3.0,5.17,0.315,1.47,18,Keuangan,Bank
AHAP,84.0,95.0,11.0,13.1,0.815,2.834,18,Keuangan,Asuransi
AIMS,410.0,360.0,-50.0,-12.2,-0.618,2.993,18,Energi,"Minyak, Gas & Batu Bara"
AISA,96.0,108.0,12.0,12.5,0.704,1.132,18,Barang Konsumen Primer,Makanan & Minuman
AKKU,38.0,38.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Jasa Konsumen
AKPI,472.0,496.0,24.0,5.08,0.297,0.65,18,Barang Baku,Barang Baku
AKRA,1225.0,1440.0,215.0,17.55,0.978,1.924,18,Energi,"Minyak, Gas & Batu Bara"
AKSI,206.0,220.0,14.0,6.8,0.434,2.349,18,Transportasi & Logistik,Logistik & Pengantaran
ALDO,704.49,765.0,60.51,8.59,0.707,4.207,18,Barang Baku,Barang Baku
ALII,710.0,750.0,40.0,5.63,0.367,2.214,18,Energi,"Minyak, Gas & Batu Bara"
ALKA,520.0,1345.0,825.0,158.65,6.142,7.858,18,Barang Baku,Barang Baku
ALMI,74.0,74.0,0.0,0.0,0.0,0.0,17,Barang Baku,Barang Baku
ALTO,18.0,18.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Primer,Makanan & Minuman
AMAG,394.0,384.0,-10.0,-2.54,-0.149,0.452,18,Keuangan,Asuransi
AMAN,260.0,264.0,4.0,1.54,0.105,1.433,18,Properti & Real Estat,Properti & Real Estat
AMAR,199.0,208.0,9.0,4.52,0.272,1.008,18,Keuangan,Bank
AMFG,2990.0,3190.0,200.0,6.69,0.405,1.727,18,Perindustrian,Barang Perindustrian
AMIN,244.0,246.0,2.0,0.82,0.052,0.628,18,Perindustrian,Barang Perindustrian
AMMN,3210.0,4040.0,830.0,25.86,1.44,3.561,18,Barang Baku,Barang Baku
AMMS,316.0,292.0,-24.0,-7.59,-0.446,1.581,18,Barang Konsumen Primer,Makanan & Minuman
AMOR,314.0,346.0,32.0,10.19,0.58,1.064,18,Keuangan,Jasa Investasi
AMRT,1380.0,1380.0,0.0,0.0,0.011,1.149,18,Barang Konsumen Primer,Perdagangan Ritel Barang Primer
ANDI,16.0,19.0,3.0,18.75,1.06,1.713,18,Barang Konsumen Primer,Makanan & Minuman
ANJT,1385.0,1465.0,80.0,5.78,0.346,1.213,18,Barang Konsumen Primer,Makanan & Minuman
ANTM,2610.0,2990.0,380.0,14.56,0.841,2.244,18,Barang Baku,Barang Baku
APEX,116.0,149.0,33.0,28.45,1.529,2.844,18,Energi,"Minyak, Gas & Batu Bara"
APIC,625.0,665.0,40.0,6.4,0.416,2.372,18,Keuangan,Perusahaan Holding & Investasi
APII,183.87,182.0,-1.87,-1.02,-0.048,1.028,18,Perindustrian,Barang Perindustrian
APLI,242.0,238.0,-4.0,-1.65,-0.085,1.243,18,Barang Baku,Barang Baku
APLN,104.0,128.0,24.0,23.08,1.602,4.579,18,Properti & Real Estat,Properti & Real Estat
ARCI,905.0,1075.0,170.0,18.78,1.078,2.91,18,Barang Baku,Barang Baku
AREA,214.0,290.0,76.0,35.51,1.858,2.675,18,Teknologi,Perangkat Lunak & Jasa TI
ARGO,980.0,1130.0,150.0,15.31,0.869,2.085,18,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
ARII,282.0,268.0,-14.0,-4.96,-0.286,1.24,18,Energi,"Minyak, Gas & Batu Bara"
ARKA,22.0,22.0,0.0,0.0,0.0,0.0,17,Perindustrian,Barang Perindustrian
ARKO,4980.0,5200.0,220.0,4.42,0.409,3.542,18,Infrastruktur,Utilitas
ARNA,450.0,478.0,28.0,6.22,0.359,0.556,18,Perindustrian,Barang Perindustrian
ARTA,2930.0,2480.0,-450.0,-15.36,-0.892,2.759,18,Barang Konsumen Non-Primer,Jasa Konsumen
ARTI,2.0,2.0,0.0,0.0,0.0,0.0,17,Energi,"Minyak, Gas & Batu Bara"
ARTO,925.0,1255.0,330.0,35.68,1.99,4.935,18,Keuangan,Bank
ASBI,416.0,418.0,2.0,0.48,0.038,1.151,18,Keuangan,Asuransi
ASDM,501.76,515.0,13.24,2.64,0.174,1.523,18,Keuangan,Asuransi
ASGR,1475.0,1885.0,410.0,27.8,1.485,2.254,18,Perindustrian,Jasa Perindustrian
ASHA,50.0,57.0,7.0,14.0,0.83,2.436,18,Barang Konsumen Primer,Makanan & Minuman
ASII,4600.0,4970.0,370.0,8.04,0.478,1.491,18,Perindustrian,Perusahaan Holding Multi Sektor
ASJT,157.0,169.0,12.0,7.64,0.472,1.821,18,Keuangan,Asuransi
ASLC,57.0,64.0,7.0,12.28,0.707,1.44,18,Barang Konsumen Non-Primer,Perdagangan Ritel
ASLI,199.0,202.0,3.0,1.51,0.16,2.927,18,Infrastruktur,Konstruksi Bangunan
ASMI,14.0,19.0,5.0,35.71,1.899,3.667,18,Keuangan,Asuransi
ASPI,326.0,414.0,88.0,26.99,1.729,5.894,18,Properti & Real Estat,Properti & Real Estat
ASPR,140.0,153.0,13.0,9.29,0.595,2.889,18,Barang Baku,Barang Baku
ASRI,105.0,121.0,16.0,15.24,1.0,2.968,18,Properti & Real Estat,Properti & Real Estat
ASRM,244.0,268.0,24.0,9.84,0.564,1.114,18,Keuangan,Asuransi
ASSA,585.0,610.0,25.0,4.27,0.268,1.71,18,Transportasi & Logistik,Transportasi
ATAP,394.0,555.0,161.0,40.86,2.258,4.814,18,Properti & Real Estat,Properti & Real Estat
ATIC,470.0,466.0,-4.0,-0.85,-0.03,1.729,18,Teknologi,Perangkat Lunak & Jasa TI
ATLA,50.0,50.0,0.0,0.0,0.002,0.233,18,Energi,"Minyak, Gas & Batu Bara"
AUTO,2350.0,2580.0,230.0,9.79,0.561,1.157,18,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
AVIA,302.0,320.0,18.0,5.96,0.358,1.492,18,Barang Baku,Barang Baku
AWAN,150.0,151.0,1.0,0.67,0.062,1.8,18,Teknologi,Perangkat Lunak & Jasa TI
AXIO,110.0,111.0,1.0,0.91,0.064,1.001,18,Teknologi,Perangkat Keras & Peralatan Teknologi
AYAM,344.0,392.0,48.0,13.95,0.783,1.351,18,Barang Konsumen Primer,Makanan & Minuman
AYLS,155.0,149.0,-6.0,-3.87,-0.179,2.798,18,Barang Baku,Barang Baku
BABP,50.0,50.0,0.0,0.0,0.0,0.0,18,Keuangan,Bank
BABY,164.0,192.0,28.0,17.07,0.979,2.434,18,Barang Konsumen Non-Primer,Perdagangan Ritel
BACA,99.0,112.0,13.0,13.13,0.823,2.484,18,Keuangan,Bank
BAIK,635.0,710.0,75.0,11.81,0.691,2.089,18,Barang Konsumen Non-Primer,Jasa Konsumen
BAJA,160.0,166.0,6.0,3.75,0.229,1.095,18,Barang Baku,Barang Baku
BALI,1225.0,1215.0,-10.0,-0.82,0.014,2.198,18,Infrastruktur,Telekomunikasi
BANK,256.0,288.0,32.0,12.5,0.74,2.262,18,Keuangan,Bank
BAPA,314.0,187.0,-127.0,-40.45,-2.313,10.839,18,Properti & Real Estat,Properti & Real Estat
BAPI,15.0,16.0,1.0,6.67,0.512,4.151,18,Properti & Real Estat,Properti & Real Estat
BATA,59.0,59.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
BATR,79.0,94.0,15.0,18.99,1.047,1.443,18,Barang Baku,Barang Baku
BAUT,25.0,28.0,3.0,12.0,0.73,2.706,18,Barang Konsumen Non-Primer,Perdagangan Ritel
BAYU,1110.0,1160.0,50.0,4.5,0.261,0.469,18,Barang Konsumen Non-Primer,Jasa Konsumen
BBCA,5600.0,6275.0,675.0,12.05,0.693,1.615,18,Keuangan,Bank
BBHI,921.65,900.0,-21.65,-2.35,-0.133,0.881,18,Keuangan,Bank
BBKP,50.0,54.0,4.0,8.0,0.47,1.363,18,Keuangan,Bank
BBLD,545.0,590.0,45.0,8.26,0.528,2.322,18,Keuangan,Jasa Pembiayaan
BBMD,1905.0,1970.0,65.0,3.41,0.241,1.717,17,Keuangan,Bank
