Sektor,Tanggal,Nilai
IDX Sector Energy,2025-06-30,0.0
IDX Sector Energy,2025-07-01,-0.3831908884093915
IDX Sector Energy,2025-07-02,-1.7221609621534888
IDX Sector Energy,2025-07-03,-1.475614625729473
IDX Sector Energy,2025-07-04,-1.2202761465503662
IDX Sector Energy,2025-07-07,-0.5590337435112155
IDX Sector Energy,2025-07-08,0.4297159771550824
IDX Sector Energy,2025-07-09,0.5022511548845848
IDX Sector Energy,2025-07-10,2.151510600027109
IDX Sector Energy,2025-07-11,2.5812265771821914
IDX Sector Energy,2025-07-14,6.2435203739591385
IDX Sector Energy,2025-07-15,6.2464510882108355
IDX Sector Energy,2025-07-16,8.093533745342912
IDX Sector Energy,2025-07-17,7.991691425096438
IDX Sector Energy,2025-07-18,8.35070392092933
IDX Sector Energy,2025-07-21,8.366822849313664
IDX Sector Energy,2025-07-22,8.153979726784163
IDX Sector Energy,2025-07-23,9.026966234508428
IDX Sector Energy,2025-07-24,8.21186133325518
IDX Sector Energy,2025-07-25,7.85797758736276
IDX Sector Energy,2025-07-28,9.325166409618603
IDX Sector Energy,2025-07-29,10.43554077173033
IDX Sector Energy,2025-07-30,9.596257477900583
IDX Sector Energy,2025-07-31,8.466100794589902
IDX Sector Energy,2025-08-01,8.538269633037942
IDX Sector Energy,2025-08-04,7.124932685157031
IDX Sector Energy,2025-08-05,7.217982862648413
IDX Sector Energy,2025-08-06,8.605676060826974
IDX Sector Energy,2025-08-07,8.312238296375806
IDX Sector Energy,2025-08-08,10.766345142890637
IDX Sector Energy,2025-08-11,11.150268709862953
IDX Sector Energy,2025-08-12,12.172355305142304
IDX Sector Energy,2025-08-13,12.90979627872558
IDX Sector Energy,2025-08-14,13.412413772891625
IDX Sector Energy,2025-08-15,12.17162262657938
IDX Sector Energy,2025-08-19,12.875726725549601
IDX Sector Energy,2025-08-20,13.500335200442537
IDX Sector Energy,2025-08-21,11.377399064369476
IDX Sector Energy,2025-08-22,11.003366657996636
IDX Sector Energy,2025-08-25,11.569727187137095
IDX Sector Energy,2025-08-26,14.320202512354792
