origin,horizon,forecast_tickers,positive_candidates,median_tickers,minimum_tickers,low_coverage,too_few_positive,excluded,reason
2026-06-02,1,914,317,916.0,733,False,False,False,
2026-06-03,1,914,379,916.0,733,False,False,False,
2026-06-04,1,914,270,916.0,733,False,False,False,
2026-06-05,1,914,342,916.0,733,False,False,False,
2026-06-08,1,914,373,916.0,733,False,False,False,
2026-06-09,1,914,231,916.0,733,False,False,False,
2026-06-10,1,914,239,916.0,733,False,False,False,
2026-06-11,1,914,270,916.0,733,False,False,False,
2026-06-12,1,915,261,916.0,733,False,False,False,
2026-06-15,1,915,307,916.0,733,False,False,False,
2026-06-16,1,62,14,916.0,733,True,True,True,low_coverage_and_too_few_positive
2026-06-17,1,915,283,916.0,733,False,False,False,
2026-06-18,1,915,207,916.0,733,False,False,False,
2026-06-19,1,915,266,916.0,733,False,False,False,
2026-06-22,1,915,297,916.0,733,False,False,False,
2026-06-23,1,915,261,916.0,733,False,False,False,
2026-06-24,1,916,430,916.0,733,False,False,False,
2026-06-25,1,916,223,916.0,733,False,False,False,
2026-06-26,1,916,269,916.0,733,False,False,False,
2026-06-29,1,916,343,916.0,733,False,False,False,
2026-06-30,1,916,369,916.0,733,False,False,False,
2026-07-01,1,916,279,916.0,733,False,False,False,
2026-07-02,1,916,260,916.0,733,False,False,False,
2026-07-03,1,916,234,916.0,733,False,False,False,
2026-07-06,1,916,252,916.0,733,False,False,False,
2026-07-07,1,916,247,916.0,733,False,False,False,
2026-07-08,1,916,303,916.0,733,False,False,False,
2026-07-09,1,916,237,916.0,733,False,False,False,
2026-07-10,1,916,252,916.0,733,False,False,False,
2026-07-13,1,916,262,916.0,733,False,False,False,
2026-07-14,1,916,258,916.0,733,False,False,False,
2026-07-15,1,916,256,916.0,733,False,False,False,
2026-07-16,1,916,205,916.0,733,False,False,False,
2026-07-17,1,916,232,916.0,733,False,False,False,
2026-07-20,1,916,271,916.0,733,False,False,False,
2026-07-21,1,916,252,916.0,733,False,False,False,
2026-07-22,1,916,259,916.0,733,False,False,False,
2026-07-23,1,916,299,916.0,733,False,False,False,
2026-07-24,1,916,331,916.0,733,False,False,False,
2026-07-27,1,916,323,916.0,733,False,False,False,
2026-07-28,1,916,349,916.0,733,False,False,False,
2026-07-29,1,916,335,916.0,733,False,False,False,
