origin,horizon,forecast_tickers,positive_candidates,median_tickers,minimum_tickers,low_coverage,too_few_positive,excluded,reason
2026-06-02,1,914,299,916.0,733,False,False,False,
2026-06-03,1,914,362,916.0,733,False,False,False,
2026-06-04,1,914,265,916.0,733,False,False,False,
2026-06-05,1,914,344,916.0,733,False,False,False,
2026-06-08,1,914,377,916.0,733,False,False,False,
2026-06-09,1,914,240,916.0,733,False,False,False,
2026-06-10,1,914,265,916.0,733,False,False,False,
2026-06-11,1,914,290,916.0,733,False,False,False,
2026-06-12,1,915,302,916.0,733,False,False,False,
2026-06-15,1,915,335,916.0,733,False,False,False,
2026-06-16,1,62,14,916.0,733,True,True,True,low_coverage_and_too_few_positive
2026-06-17,1,915,318,916.0,733,False,False,False,
2026-06-18,1,915,224,916.0,733,False,False,False,
2026-06-19,1,915,285,916.0,733,False,False,False,
2026-06-22,1,915,310,916.0,733,False,False,False,
2026-06-23,1,915,279,916.0,733,False,False,False,
2026-06-24,1,916,429,916.0,733,False,False,False,
2026-06-25,1,916,206,916.0,733,False,False,False,
2026-06-26,1,916,276,916.0,733,False,False,False,
2026-06-29,1,916,324,916.0,733,False,False,False,
2026-06-30,1,916,372,916.0,733,False,False,False,
2026-07-01,1,916,287,916.0,733,False,False,False,
2026-07-02,1,916,230,916.0,733,False,False,False,
2026-07-03,1,916,240,916.0,733,False,False,False,
2026-07-06,1,916,269,916.0,733,False,False,False,
2026-07-07,1,916,258,916.0,733,False,False,False,
2026-07-08,1,916,317,916.0,733,False,False,False,
2026-07-09,1,916,251,916.0,733,False,False,False,
2026-07-10,1,916,270,916.0,733,False,False,False,
2026-07-13,1,916,270,916.0,733,False,False,False,
2026-07-14,1,916,278,916.0,733,False,False,False,
2026-07-15,1,916,275,916.0,733,False,False,False,
2026-07-16,1,916,217,916.0,733,False,False,False,
2026-07-17,1,916,239,916.0,733,False,False,False,
2026-07-20,1,916,281,916.0,733,False,False,False,
2026-07-21,1,916,286,916.0,733,False,False,False,
2026-07-22,1,916,289,916.0,733,False,False,False,
2026-07-23,1,916,300,916.0,733,False,False,False,
2026-07-24,1,916,347,916.0,733,False,False,False,
2026-07-27,1,916,330,916.0,733,False,False,False,
2026-07-28,1,916,361,916.0,733,False,False,False,
2026-07-29,1,916,354,916.0,733,False,False,False,
