origin,target_date,horizon,ticker,pred_high_gain_mean,pred_high_gain_median,pred_hit5_probability,pred_close_gain_mean,pred_close_up_probability,pred_range_mean,pred_high_gain_dispersion,pred_low_gain_mean,hit5_rate_20,hit5_rate_60,mom_5,mom_20,volatility_20,volume_ratio_5_60,turnover_accel,range_20,drawdown_60,actual_high_gain,hit5,r_pred_high_gain_mean,r_pred_high_gain_median,r_pred_hit5_probability,r_pred_close_gain_mean,r_pred_close_up_probability,r_pred_range_mean,r_pred_high_gain_dispersion,r_pred_low_gain_mean,r_hit5_rate_20,r_hit5_rate_60,r_mom_5,r_mom_20,r_volatility_20,r_volume_ratio_5_60,r_turnover_accel,r_range_20,r_drawdown_60,secondary_score,selected_rank
2026-06-02,2026-06-03,1,ASPR,0.277789044380188,0.2852135896682739,0.8,0.022155296802520753,0.8,0.4535194367170334,0.16504987750925795,-0.17573039531707763,0.5,0.5166666666666667,-0.12195121951219512,-0.3493975903614458,2.2195582186756218,5.463167312854161,8.207520543383888,3.052287581699346,-0.5962616822429907,0.0092592592592593,0,1.0,1.0,0.71,0.49,0.34,1.0,1.0,0.01,0.975,1.0,0.11,0.12,1.0,0.93,0.94,1.0,0.04,0.3952694843731745,1
2026-06-02,2026-06-03,1,EURO,0.10032355785369873,0.13429439067840576,0.8,0.10140564441680908,1.0,0.05307582095265388,0.06297936533515466,0.04724774360656738,0.25,0.45,-0.09819121447028423,-0.5346666666666666,1.1380111267143072,0.5926830459629756,0.44556939957090114,1.3870967741935485,-0.5346666666666666,0.09455587392550147,1,0.88,0.95,0.71,0.98,0.76,0.54,0.92,0.95,0.635,0.92,0.15,0.01,0.89,0.55,0.47,0.97,0.08,0.3559954274990256,2
2026-06-02,2026-06-03,1,YPAS,0.09865624904632568,0.0860142707824707,0.8,0.02436697483062744,0.8,0.20426518470048904,0.06913540751996045,-0.10560894012451172,0.4,0.4166666666666667,0.10687022900763354,-0.5214521452145214,1.1056376518830187,3.405197305101059,3.404689422334125,1.7826086956521738,-0.5821325648414986,0.0,0,0.87,0.78,0.71,0.54,0.34,0.94,0.94,0.05,0.92,0.87,0.9,0.03,0.87,0.9,0.9,0.99,0.06,0.34617822937360965,3
2026-06-02,2026-06-03,1,FILM,0.1962432861328125,0.22374510765075684,1.0,0.057036423683166505,0.6,0.16668828427791596,0.05732273181680304,0.029554998874664305,0.2,0.35,-0.13888888888888884,-0.264406779661017,1.2322451067220173,1.1938911605697193,0.9478419724904195,0.6842105263157894,-0.7416666666666667,0.05069124423963123,1,0.99,0.98,0.91,0.93,0.09,0.92,0.91,0.87,0.485,0.745,0.06,0.26,0.91,0.76,0.72,0.77,0.01,0.3305082779964392,4
2026-06-02,2026-06-03,1,ARTA,0.12878906726837158,0.0989006757736206,0.8,0.05471402406692505,0.6,0.21091779246926307,0.12350843706790227,-0.08212875127792359,0.3,0.36666666666666664,0.3799999999999999,0.06153846153846154,1.3094688253590712,5.491891891891892,5.19828921667677,0.4850000000000001,-0.2831168831168831,0.1594202898550725,1,0.95,0.85,0.71,0.91,0.09,0.95,0.99,0.06,0.77,0.78,0.98,0.92,0.93,0.94,0.93,0.51,0.62,0.31221332164450893,5
2026-06-02,2026-06-03,1,ESIP,0.09057586193084717,0.08452093601226807,1.0,0.02019650936126709,0.8,0.11754915863275528,0.02651658857588776,-0.02697329521179199,0.5,0.48333333333333334,-0.058394160583941646,-0.21818181818181814,1.5929270465830094,0.5077364032314302,0.5906955955416117,1.034188034188034,-0.4136363636363637,0.007751937984496138,0,0.8,0.77,0.91,0.43,0.34,0.88,0.67,0.14,0.975,0.965,0.37,0.4,0.96,0.39,0.58,0.95,0.27,0.3097762648709339,6
2026-06-02,2026-06-03,1,FIRE,0.11147994995117187,0.1060323715209961,1.0,0.04343272447586059,0.8,0.10777187645435334,0.025695534759746463,0.003708064556121826,0.4,0.38333333333333336,0.03809523809523818,-0.21014492753623193,0.9948346645915551,2.1160401299717764,1.6391950193835423,0.8163265306122449,-0.38068181818181823,0.03669724770642202,0,0.91,0.89,0.91,0.84,0.34,0.86,0.64,0.6,0.92,0.815,0.85,0.44,0.82,0.83,0.79,0.86,0.35,0.3035603718980309,7
2026-06-02,2026-06-03,1,TIRT,0.09763765335083008,0.11117792129516602,0.8,0.10254783630371093,1.0,0.02596326731145382,0.04457714420406942,0.07167439460754395,0.3,0.31666666666666665,0.25,-0.028846153846153855,0.7528172226633834,0.3549418232962537,0.3086728089984921,0.5751445086705202,-0.495,0.08910891089108919,1,0.85,0.9,0.71,0.99,0.76,0.24,0.86,0.99,0.77,0.64,0.955,0.84,0.56,0.23,0.27,0.63,0.14,0.30241161157467433,8
2026-06-02,2026-06-03,1,BREN,0.18453831672668458,0.16529977321624756,1.0,0.0321880578994751,0.8,0.296561399102211,0.05052366825480345,-0.11202306747436523,0.3,0.25,0.73109243697479,-0.10434782608695647,1.5928110661337183,11.751899943844025,8.760628454665571,1.2282608695652173,-0.4990881458966565,0.024271844660194164,0,0.98,0.97,0.91,0.68,0.34,0.99,0.89,0.04,0.77,0.535,1.0,0.665,0.95,0.96,0.95,0.96,0.12,0.29442899365793035,9
2026-06-02,2026-06-03,1,PTRO,0.09379596710205078,0.08752262592315674,0.6,0.016878283023834227,0.6,0.2606056869029999,0.08149460208746732,-0.16680973768234253,0.35,0.36666666666666664,0.34078212290502785,-0.054187192118226646,1.4530756077099962,1.1923760621428208,1.1207198637370042,0.9321766561514195,-0.27819548872180455,-0.01666666666666672,0,0.82,0.79,0.535,0.2,0.09,0.97,0.96,0.02,0.86,0.78,0.97,0.78,0.94,0.75,0.73,0.89,0.66,0.28944200436793294,10
