target_date,ticker,models_available,mean_final_score_percentile,mean_net_pattern_score,models_selected,consensus_rank
2026-08-03,KOTA,2,0.995,0.4455026144981467,2.0,1
2026-08-03,BEEF,2,0.975,0.6022727272727273,2.0,2
2026-08-03,HATM,2,0.95,0.8489445170053904,2.0,3
2026-08-03,BOAT,2,0.9450000000000001,0.36118275255183074,2.0,4
2026-08-03,MGNA,2,0.9450000000000001,0.4156715364317752,2.0,5
2026-08-03,ALDO,2,0.94,0.14109885995493948,2.0,6
2026-08-03,MSIE,2,0.94,0.46080880979891264,2.0,7
2026-08-03,BLES,2,0.935,0.4973557619189932,2.0,8
2026-08-03,GMTD,2,0.88,0.0,2.0,9
2026-08-03,RAAM,2,0.865,0.5083974872871206,2.0,10
2026-08-03,LMAX,2,0.86,0.0,2.0,11
2026-08-03,BAIK,2,0.8200000000000001,0.84926080355039,2.0,12
2026-08-03,KKES,2,0.8200000000000001,0.0,2.0,13
2026-08-03,GULA,2,0.81,0.0,2.0,14
2026-08-03,HADE,2,0.715,0.0,2.0,15
2026-08-03,RLCO,1,0.99,0.600748610363995,1.0,16
2026-08-03,DOOH,1,0.97,0.3553108003108003,1.0,17
2026-08-03,ESTI,1,0.94,0.23131797632264806,1.0,18
2026-08-03,SMIL,1,0.9,0.5466189678877488,1.0,19
2026-08-03,MMIX,1,0.89,0.0,1.0,20
2026-08-03,DIVA,1,0.85,0.0,1.0,21
2026-08-03,NANO,1,0.85,0.0,1.0,22
2026-08-03,ASPI,1,0.84,0.0,1.0,23
2026-08-03,UDNG,1,0.84,0.0,1.0,24
2026-08-03,MBSS,1,0.81,0.0,1.0,25
2026-08-03,SSMS,1,0.8,0.9733074162328884,1.0,26
2026-08-03,BFIN,1,0.78,0.4761795602659342,1.0,27
2026-08-03,MARK,1,0.77,0.0,1.0,28
2026-08-03,SMKM,1,0.77,0.0,1.0,29
2026-08-03,BREN,1,0.76,0.43403826787512506,1.0,30
2026-08-04,MGNA,2,0.985,0.4156715364317752,2.0,1
2026-08-04,IRSX,2,0.98,0.7750428716279357,2.0,2
2026-08-04,BULL,2,0.9299999999999999,0.34550650793755966,2.0,3
2026-08-04,MSIE,2,0.905,0.46080880979891264,2.0,4
2026-08-04,BNBR,2,0.89,0.0,2.0,5
2026-08-04,INPS,2,0.825,0.17618606211549398,2.0,6
2026-08-04,AKSI,2,0.815,0.0,2.0,7
2026-08-04,FILM,2,0.81,0.0,2.0,8
2026-08-04,WINR,2,0.81,0.0,2.0,9
2026-08-04,WGSH,1,1.0,0.7187483757255781,1.0,10
2026-08-04,BAPI,1,0.99,0.5925812655299023,1.0,11
2026-08-04,KOTA,1,0.99,0.4455026144981467,1.0,12
2026-08-04,TPIA,1,0.97,0.2585833333333328,1.0,13
2026-08-04,ECII,1,0.96,0.2652936319836858,1.0,14
2026-08-04,SPRE,1,0.96,0.44965242085347734,1.0,15
2026-08-04,BEEF,1,0.95,0.6022727272727273,1.0,16
2026-08-04,DEWA,1,0.94,0.30130825224619484,1.0,17
2026-08-04,FUTR,1,0.93,0.19518710638083053,1.0,18
2026-08-04,VIVA,1,0.93,0.6952403566027978,1.0,19
2026-08-04,SSTM,1,0.92,0.49899205504995003,1.0,20
2026-08-04,CBPE,1,0.91,0.5900366000442785,1.0,21
2026-08-04,BABY,1,0.9,0.18747055960760614,1.0,22
2026-08-04,HOPE,1,0.9,0.40157580176465624,1.0,23
2026-08-04,NIRO,1,0.89,0.0,1.0,24
2026-08-04,RSCH,1,0.88,0.4787400737345475,1.0,25
2026-08-04,FORU,1,0.87,0.0,1.0,26
2026-08-04,LUCY,1,0.86,0.0,1.0,27
2026-08-04,DOSS,1,0.85,0.3752786769543345,1.0,28
2026-08-04,ELPI,1,0.84,0.0,1.0,29
2026-08-04,VKTR,1,0.83,0.0,1.0,30
2026-08-05,MDIA,2,0.99,0.6082132105020415,2.0,1
2026-08-05,MGNA,2,0.975,0.4156715364317752,2.0,2
2026-08-05,TAMA,2,0.95,0.3143091837585635,2.0,3
2026-08-05,SINI,2,0.915,0.6136363636363636,2.0,4
2026-08-05,BNBR,2,0.835,0.0,2.0,5
2026-08-05,RBMS,2,0.75,0.0,2.0,6
2026-08-05,VKTR,2,0.725,0.0,2.0,7
2026-08-05,WGSH,1,1.0,0.7187483757255781,1.0,8
2026-08-05,DOOH,1,0.98,0.3553108003108003,1.0,9
2026-08-05,KOTA,1,0.98,0.4455026144981467,1.0,10
2026-08-05,BUVA,1,0.97,0.5052543530421567,1.0,11
2026-08-05,HOPE,1,0.96,0.40157580176465624,1.0,12
2026-08-05,PADA,1,0.95,0.3862041542691472,1.0,13
2026-08-05,RLCO,1,0.93,0.600748610363995,1.0,14
2026-08-05,TAXI,1,0.93,0.6770782748543124,1.0,15
2026-08-05,BOAT,1,0.92,0.36118275255183074,1.0,16
2026-08-05,TPIA,1,0.92,0.2585833333333328,1.0,17
2026-08-05,ESTI,1,0.91,0.23131797632264806,1.0,18
2026-08-05,MSIE,1,0.91,0.46080880979891264,1.0,19
2026-08-05,GTSI,1,0.9,0.8846772729642316,1.0,20
2026-08-05,TIFA,1,0.9,0.5818565857791735,1.0,21
2026-08-05,BULL,1,0.89,0.34550650793755966,1.0,22
2026-08-05,LOPI,1,0.89,0.17325191197203338,1.0,23
2026-08-05,IFSH,1,0.88,0.3661908459915198,1.0,24
2026-08-05,LUCY,1,0.88,0.0,1.0,25
2026-08-05,RMKO,1,0.87,0.5375043079049022,1.0,26
2026-08-05,KDTN,1,0.86,0.0,1.0,27
2026-08-05,INDY,1,0.85,0.1348500324018992,1.0,28
2026-08-05,CBUT,1,0.84,0.6450508181818182,1.0,29
2026-08-05,PEGE,1,0.84,0.0,1.0,30
2026-08-06,BAPI,2,0.995,0.5925812655299023,2.0,1
2026-08-06,MGNA,2,0.965,0.4156715364317752,2.0,2
2026-08-06,DOOH,2,0.9450000000000001,0.3553108003108003,2.0,3
2026-08-06,FAST,2,0.8899999999999999,0.4364778368044075,2.0,4
2026-08-06,BNBR,2,0.83,0.0,2.0,5
2026-08-06,BTEK,2,0.815,0.0,2.0,6
2026-08-06,MCAS,2,0.8,0.0,2.0,7
2026-08-06,ESIP,2,0.78,0.39685039370078706,2.0,8
2026-08-06,KAQI,2,0.78,1.0,2.0,9
2026-08-06,WGSH,1,1.0,0.7187483757255781,1.0,10
2026-08-06,TAXI,1,0.99,0.6770782748543124,1.0,11
2026-08-06,KOTA,1,0.98,0.4455026144981467,1.0,12
2026-08-06,GTSI,1,0.97,0.8846772729642316,1.0,13
2026-08-06,HOPE,1,0.97,0.40157580176465624,1.0,14
2026-08-06,ESTI,1,0.96,0.23131797632264806,1.0,15
2026-08-06,KJEN,1,0.95,0.6064045273180331,1.0,16
2026-08-06,SSTM,1,0.94,0.49899205504995003,1.0,17
2026-08-06,RLCO,1,0.93,0.600748610363995,1.0,18
2026-08-06,KLIN,1,0.92,0.4778153803011778,1.0,19
2026-08-06,PACK,1,0.92,0.72862203183979,1.0,20
2026-08-06,IFSH,1,0.91,0.3661908459915198,1.0,21
2026-08-06,MSIE,1,0.91,0.46080880979891264,1.0,22
2026-08-06,ECII,1,0.9,0.2652936319836858,1.0,23
2026-08-06,KONI,1,0.9,0.3591407176561653,1.0,24
2026-08-06,FUTR,1,0.89,0.19518710638083053,1.0,25
2026-08-06,TAMA,1,0.89,0.3143091837585635,1.0,26
2026-08-06,BUVA,1,0.88,0.5052543530421567,1.0,27
2026-08-06,RMKO,1,0.88,0.5375043079049022,1.0,28
2026-08-06,LUCY,1,0.87,0.0,1.0,29
2026-08-06,TPIA,1,0.87,0.2585833333333328,1.0,30
2026-08-07,TAMA,2,0.97,0.3143091837585635,2.0,1
2026-08-07,TAXI,2,0.9650000000000001,0.6770782748543124,2.0,2
2026-08-07,BUVA,2,0.9450000000000001,0.5052543530421567,2.0,3
2026-08-07,ECII,2,0.9299999999999999,0.2652936319836858,2.0,4
2026-08-07,WGSH,2,0.9299999999999999,0.7187483757255781,2.0,5
2026-08-07,NANO,2,0.7749999999999999,0.0,2.0,6
2026-08-07,MDIA,1,0.99,0.6082132105020415,1.0,7
2026-08-07,GTSI,1,0.98,0.8846772729642316,1.0,8
2026-08-07,BAPI,1,0.97,0.5925812655299023,1.0,9
2026-08-07,PACK,1,0.97,0.72862203183979,1.0,10
2026-08-07,PADA,1,0.96,0.3862041542691472,1.0,11
2026-08-07,BOAT,1,0.95,0.36118275255183074,1.0,12
2026-08-07,FUTR,1,0.95,0.19518710638083053,1.0,13
2026-08-07,ESTI,1,0.94,0.23131797632264806,1.0,14
2026-08-07,CASH,1,0.93,0.20337916146155033,1.0,15
2026-08-07,SSTM,1,0.92,0.49899205504995003,1.0,16
2026-08-07,DEWA,1,0.91,0.30130825224619484,1.0,17
2026-08-07,KLIN,1,0.91,0.4778153803011778,1.0,18
2026-08-07,PBSA,1,0.9,0.026851030902196232,1.0,19
2026-08-07,HOPE,1,0.89,0.40157580176465624,1.0,20
2026-08-07,RGAS,1,0.89,0.33859923958611693,1.0,21
2026-08-07,BKDP,1,0.88,0.1424450927341656,1.0,22
2026-08-07,LUCY,1,0.88,0.0,1.0,23
2026-08-07,MCAS,1,0.87,0.0,1.0,24
2026-08-07,PYFA,1,0.87,0.27292340884573885,1.0,25
2026-08-07,ARKO,1,0.86,0.0,1.0,26
2026-08-07,SGER,1,0.85,0.7495563833765474,1.0,27
2026-08-07,WINR,1,0.85,0.0,1.0,28
2026-08-07,MEJA,1,0.84,0.6916674128787879,1.0,29
2026-08-07,SINI,1,0.84,0.6136363636363636,1.0,30
