ranking,top_k,selections,hits,precision,daily_basket_success,run_name,lift
base,1,41,14,0.34146341463414637,0.34146341463414637,validated_no_refit_e15_1d,0.0
base,3,123,57,0.4634146341463415,0.7804878048780488,validated_no_refit_e15_1d,0.0
base,5,205,101,0.4926829268292683,0.926829268292683,validated_no_refit_e15_1d,0.0
base,10,410,195,0.47560975609756095,0.975609756097561,validated_no_refit_e15_1d,0.0
base,20,820,387,0.4719512195121951,0.975609756097561,validated_no_refit_e15_1d,0.0
base,30,1230,584,0.47479674796747967,0.975609756097561,validated_no_refit_e15_1d,0.0
base_plus_pattern,1,41,22,0.5365853658536586,0.5365853658536586,validated_no_refit_e15_1d,0.1951219512195122
base_plus_pattern,3,123,64,0.5203252032520326,0.8780487804878049,validated_no_refit_e15_1d,0.05691056910569109
base_plus_pattern,5,205,111,0.5414634146341464,0.975609756097561,validated_no_refit_e15_1d,0.04878048780487809
base_plus_pattern,10,410,221,0.5390243902439025,0.975609756097561,validated_no_refit_e15_1d,0.06341463414634152
base_plus_pattern,20,820,399,0.4865853658536585,0.975609756097561,validated_no_refit_e15_1d,0.014634146341463428
base_plus_pattern,30,1230,571,0.46422764227642277,0.975609756097561,validated_no_refit_e15_1d,-0.010569105691056901
