origin,target_date,horizon,ticker,pred_high_gain_mean,pred_high_gain_median,pred_hit5_probability,pred_close_gain_mean,pred_close_up_probability,pred_range_mean,pred_high_gain_dispersion,pred_low_gain_mean,hit5_rate_20,hit5_rate_60,mom_5,mom_20,volatility_20,volume_ratio_5_60,turnover_accel,range_20,drawdown_60,actual_high_gain,hit5,r_pred_high_gain_mean,r_pred_high_gain_median,r_pred_hit5_probability,r_pred_close_gain_mean,r_pred_close_up_probability,r_pred_range_mean,r_pred_high_gain_dispersion,r_pred_low_gain_mean,r_hit5_rate_20,r_hit5_rate_60,r_mom_5,r_mom_20,r_volatility_20,r_volume_ratio_5_60,r_turnover_accel,r_range_20,r_drawdown_60,secondary_score,history_sufficient,current_volume_ratio,average_traded_value_20,median_traded_value_20,zero_volume_frequency_20,atr_14,atr_ratio,range_compression,close_position_in_range,body_ratio,lower_wick_ratio,upper_wick_ratio,rsi_14,ema_10,ema_20,ema_50,support_distance,resistance_distance,extension_from_ema20,pattern_bullish_rejection,pattern_bullish_rejection_score,pattern_bullish_engulfing,pattern_bullish_engulfing_score,pattern_failed_breakdown,pattern_failed_breakdown_score,pattern_double_bottom_breakout,pattern_double_bottom_breakout_score,pattern_bearish_structure_break,pattern_bearish_structure_break_score,pattern_higher_low,pattern_higher_low_score,pattern_rsi_bullish_divergence,pattern_rsi_bullish_divergence_score,pattern_breakout_with_volume,pattern_breakout_with_volume_score,pattern_bull_flag,pattern_bull_flag_score,pattern_ascending_triangle,pattern_ascending_triangle_score,pattern_compression_breakout,pattern_compression_breakout_score,pattern_inside_bar_breakout,pattern_inside_bar_breakout_score,pattern_breakout_retest,pattern_breakout_retest_score,pattern_bullish_hh_hl_structure,pattern_bullish_hh_hl_structure_score,reversal_pattern_score,continuation_pattern_score,structure_score,volume_confirmation_score,pattern_signal_count,pattern_quality_score,penalty_extended,penalty_gap_up,penalty_weak_breakout_volume,penalty_upper_wick,penalty_close_below_high,penalty_low_liquidity,penalty_excess_volatility,penalty_chasing,penalty_near_resistance,penalty_insufficient_history,penalty_zero_volume,pattern_penalty_score,net_pattern_score,top_bullish_pattern,top_pattern_score,pattern_support,pattern_penalty,base_percentile_rank,pattern_percentile_rank,final_ranking_score,base_selected_rank,selected_rank
2026-06-02,2026-06-03,1,ASPR,0.277789044380188,0.2852135896682739,0.8,0.022155296802520753,0.8,0.4535194367170334,0.16504987750925795,-0.17573039531707763,0.5,0.5166666666666667,-0.12195121951219512,-0.3493975903614458,2.2195582186756218,5.463167312854161,8.207520543383888,3.052287581699346,-0.5962616822429907,0.0092592592592593,0,1.0,1.0,0.71,0.49,0.34,1.0,1.0,0.01,0.975,1.0,0.11,0.12,1.0,0.93,0.94,1.0,0.04,0.39526948437317455,True,4.173169158249103,132034917235.0,89622194600.0,0.2,46.55477215518419,1.0837123589240982,0.05910165484633567,0.8873239436619719,0.8873239436619719,0.0,0.11267605633802817,41.588990009904784,255.24450007543257,285.54527863435567,268.42059166133873,0.7947627769858991,8.677950321683872,-0.24355254258435588,False,0.0,False,0.0,True,0.5915492957746479,False,0.0,False,0.0,False,0.0,True,0.2563009897476494,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.5915492957746479,0.0,0.0,1.0,2,0.6518013353645539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7954545454545454,0.25407406263728116,failed_breakdown,0.5915492957746479,volume_expansion,excess_volatility,1.0,0.95,0.9824999999999999,1,1
2026-06-02,2026-06-03,1,EURO,0.10032355785369873,0.13429439067840576,0.8,0.10140564441680908,1.0,0.05307582095265388,0.06297936533515466,0.04724774360656738,0.25,0.45,-0.09819121447028423,-0.5346666666666666,1.1380111267143072,0.5926830459629756,0.44556939957090114,1.3870967741935485,-0.5346666666666666,0.09455587392550147,1,0.88,0.95,0.71,0.98,0.76,0.54,0.92,0.95,0.635,0.92,0.15,0.01,0.89,0.55,0.47,0.97,0.08,0.3559954274990256,True,0.3220280918122645,1601816175.0,1278522500.0,0.2,188.28140861355348,0.9530329363104015,0.0,1.0,0.7948717948717948,0.25806451612903225,0.0,34.070454409668955,1951.847448350357,2214.3560065529414,2245.5789944797807,0.9029038036831561,10.648953684616048,-0.2119605001020507,False,0.0,True,0.5916666666666667,True,0.6881720430107526,False,0.0,False,0.0,False,0.0,True,0.30176477384945954,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.6881720430107526,0.0,0.0,0.0,3,0.700242633964731,0.0,0.0,0.0,0.0,0.0,0.0,0.3487206920741653,0.0,0.0,0.0,1.0,0.7806527430016855,0.3099162624638882,failed_breakdown,0.6881720430107526,reversal_setup,zero_volume,0.99,0.96,0.9795,2,2
2026-06-02,2026-06-03,1,MMIX,0.08075516223907471,0.09714758396148682,0.6,0.029445087909698485,0.8,0.14167271107435225,0.05401023199343436,-0.060917556285858154,0.4,0.4166666666666667,0.40374331550802145,0.75,1.1118212545786978,1.5395715985719953,2.9228053734570385,0.75,0.0,0.24761904761904763,1,0.76,0.83,0.535,0.63,0.34,0.91,0.9,0.08,0.92,0.87,0.99,1.0,0.88,0.79,0.87,0.82,0.99,0.2843224813192928,True,7.643313988317603,1359843230.0,1275910400.0,0.2,32.82785205311335,1.146265033807076,0.0,1.0,0.9340659340659341,0.07058823529411765,0.0,85.91816543215529,409.02086233096753,379.2742226738047,325.6940967884373,6.914859968076152,-2.8938841276089624,0.38422273018940967,False,0.0,False,0.0,False,0.0,False,0.0,True,1.0,False,0.0,False,0.0,True,0.75,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1.0,0.75,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.803030303030303,0.5984848484848485,bearish_structure_break,1.0,volume_expansion,extended,0.89,1.0,0.9284999999999999,12,3
2026-06-02,2026-06-03,1,HILL,0.09323952198028565,0.10202515125274658,1.0,0.1431074857711792,1.0,-0.10305472165346145,0.032819874857693825,0.19629426002502443,0.25,0.23333333333333334,0.1333333333333333,-0.15000000000000002,0.6571561173338261,0.5315685230998176,0.3879068563162427,0.6153846153846154,-0.5,0.0,0,0.81,0.87,0.91,1.0,0.76,0.01,0.74,1.0,0.635,0.495,0.91,0.59,0.42,0.46,0.37,0.695,0.105,0.27007799452518294,True,1.6519710824730616,837146120.0,754333100.0,0.2,0.8771051325494696,0.7610031855309293,0.33333333333333337,0.5,0.0,0.0,0.0,40.910329899401184,16.028077707912146,17.209340075507193,28.179703905000785,4.56045672469531,4.56045672469531,-0.012164329055541878,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.5,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.5,0.0,0.5,0.5011594602782715,1,0.5600579730139136,0.0,0.041666666666666706,0.0,0.0,0.23076923076923078,0.2456669,0.0,0.0,0.0,0.0,1.0,0.7845023363053613,0.16780680486123295,higher_low,0.5,volume_expansion,zero_volume,0.85,0.94,0.8815,16,4
2026-06-02,2026-06-03,1,KKES,0.05528111457824707,0.06532812118530273,0.6,0.014709734916687011,0.8,0.044586623832583425,0.021402271570459708,0.010694468021392822,0.5,0.3333333333333333,0.25,0.3157894736842106,1.0944345878226147,1.0289538404912082,1.337913013224566,0.4444444444444444,-0.038461538461538436,0.0,0,0.52,0.69,0.535,0.08,0.34,0.44,0.56,0.72,0.975,0.69,0.955,0.98,0.85,0.71,0.76,0.44,0.96,0.249618341093956,True,1.1268150831733519,326004550.0,275762200.0,0.2,2.7060750640841684,1.126947783158094,0.2500000000000001,1.0,0.0,2000000000000.0,0.0,63.758369828437424,44.21083518682538,42.947240874833525,39.74311532266084,5.173544587070831,0.7390777981529758,0.1642191438030025,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7512100554489013,True,1.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8628134250695331,1.0,0.8628134250695331,1.0,0.1922441665725599,3,1.0,0.368492865025021,0.4492753623188397,0.0,0.0,0.0,0.7242378,0.0,0.3333333333333333,0.0,0.0,1.0,0.8153486218335726,0.5923256890832137,higher_low,1.0,bullish_structure,zero_volume,0.79,0.99,0.86,22,5
2026-06-02,2026-06-03,1,VISI,0.12122304439544677,0.12484753131866455,0.8,0.0184065580368042,0.8,0.17685322761535643,0.06473327030540792,-0.05563018321990967,0.25,0.31666666666666665,0.21476510067114085,0.1312500000000001,0.9075657168196161,0.9653919548126098,1.2378771076513064,0.4263565891472869,-0.021621621621621623,0.24861878453038666,1,0.94,0.94,0.71,0.3,0.34,0.93,0.93,0.09,0.635,0.64,0.93,0.95,0.75,0.69,0.75,0.41,0.97,0.23035620307315402,True,12.35386252495905,329533425.0,253151000.0,0.2,68.47481476875666,0.9870174269641935,0.0,0.926829268292683,0.7804878048780488,0.1875,0.07317073170731707,66.35337494147036,776.491718922076,773.6931896727881,723.7529637788605,3.7970164779274653,-0.29207819060980506,0.16971431580358676,False,0.0,False,0.0,False,0.0,False,0.0,True,0.7685453125717698,False,0.0,False,0.0,True,0.592157571999449,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.7685453125717698,0.592157571999449,0.7685453125717698,1.0,2,0.8723434844517938,0.4142859650298897,0.0,0.0,0.0,0.0,0.746849,0.0,0.0,0.0,0.0,1.0,0.7991167037506793,0.4727851325764541,bearish_structure_break,0.7685453125717698,volume_expansion,zero_volume,0.71,0.98,0.8045,30,6
2026-06-02,2026-06-03,1,YPAS,0.09865624904632568,0.0860142707824707,0.8,0.02436697483062744,0.8,0.20426518470048904,0.06913540751996045,-0.10560894012451172,0.4,0.4166666666666667,0.10687022900763354,-0.5214521452145214,1.1056376518830187,3.405197305101059,3.404689422334125,1.7826086956521738,-0.5821325648414986,0.0,0,0.87,0.78,0.71,0.54,0.34,0.94,0.94,0.05,0.92,0.87,0.9,0.03,0.87,0.9,0.9,0.99,0.06,0.3461782293736096,True,0.6347906707926455,444595300.0,142958250.0,0.2,107.89518320308318,0.8470304162724988,0.2355212355212355,0.7037037037037037,0.2962962962962963,1.375,0.2962962962962963,38.12699875542977,713.2935682167706,832.4467392231192,951.7861255921478,1.3902381510179747,8.109722547604852,-0.12907340993778627,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.85704175,0.8602617793635031,0.0,0.0,0.0,1.0,0.8117568983946251,0.0,none,0.0,none,zero_volume,0.98,0.455,0.7962499999999999,3,7
2026-06-02,2026-06-03,1,FILM,0.1962432861328125,0.22374510765075684,1.0,0.057036423683166505,0.6,0.16668828427791596,0.05732273181680304,0.029554998874664305,0.2,0.35,-0.13888888888888884,-0.264406779661017,1.2322451067220173,1.1938911605697193,0.9478419724904195,0.6842105263157894,-0.7416666666666667,0.05069124423963123,1,0.99,0.98,0.91,0.93,0.09,0.92,0.91,0.87,0.485,0.745,0.06,0.26,0.91,0.76,0.72,0.77,0.01,0.33050827799643917,True,1.0828503104795457,13158957700.0,7274630500.0,0.2,244.4926983066281,0.8869106958557371,0.0,0.18181818181818182,0.4090909090909091,0.4444444444444444,0.4090909090909091,40.21780288129456,2311.748919414001,2387.9278733697593,3260.664279297706,1.4928871190346913,3.5583884755073463,-0.09126233493067237,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.16638253557620333,0,0.008319126778810167,0.0,0.0,0.0,0.09090909090909098,0.7202797202797203,0.0,0.40836807780315726,0.0,0.0,0.0,1.0,0.8004444747498175,0.0,none,0.0,volume_expansion,zero_volume,0.97,0.455,0.78975,4,8
2026-06-02,2026-06-03,1,ARTA,0.12878906726837158,0.0989006757736206,0.8,0.05471402406692505,0.6,0.21091779246926307,0.12350843706790227,-0.08212875127792359,0.3,0.36666666666666664,0.3799999999999999,0.06153846153846154,1.3094688253590712,5.491891891891892,5.19828921667677,0.4850000000000001,-0.2831168831168831,0.1594202898550725,1,0.95,0.85,0.71,0.91,0.09,0.95,0.99,0.06,0.77,0.78,0.98,0.92,0.93,0.94,0.93,0.51,0.62,0.31221332164450905,True,4.0932642487046635,27617800.0,2140000.0,0.2,249.88130624060983,1.3671424133460037,0.0,0.7619047619047619,0.6984126984126984,0.09090909090909091,0.23809523809523808,58.472900995655124,2428.315130194606,2455.933907379032,2597.8294283294667,3.041444001690141,0.8403990004670127,0.12380874408198816,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,0,0.05,0.03173953401656808,0.0,0.0,0.0,0.0,0.99786,0.13170881449551547,0.0,0.0,0.0,1.0,0.7991206442843656,0.0,none,0.0,volume_expansion,zero_volume,0.96,0.455,0.7832499999999999,5,9
2026-06-02,2026-06-03,1,ESIP,0.09057586193084717,0.08452093601226807,1.0,0.02019650936126709,0.8,0.11754915863275528,0.02651658857588776,-0.02697329521179199,0.5,0.48333333333333334,-0.058394160583941646,-0.21818181818181814,1.5929270465830094,0.5077364032314302,0.5906955955416117,1.034188034188034,-0.4136363636363637,0.007751937984496138,0,0.8,0.77,0.91,0.43,0.34,0.88,0.67,0.14,0.975,0.965,0.37,0.4,0.96,0.39,0.58,0.95,0.27,0.309776264870934,True,0.11886024689390191,58945083885.0,18551427700.0,0.2,17.842463956284533,0.7953185765348084,0.2751677852348994,0.2,0.1,2.0,0.7,45.553903617159776,135.85584039355436,139.98586048707756,126.582500419795,0.6725528508506987,6.1090217285605135,-0.07847835809168524,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5384615384615384,0.6923076923076923,0.0,0.7289209259965632,0.0,0.0,0.0,1.0,0.8172656853810407,0.0,none,0.0,none,zero_volume,0.95,0.455,0.7767499999999999,6,10
