ticker,reason,bars,last_date
ABBA,insufficient_history,114,2026-06-30 14:30:00
ADCP,stale_or_suspended,120,2026-06-08 15:00:00
ARKA,insufficient_history,110,2026-06-29 14:30:00
ARMY,insufficient_history,1,2026-07-17 09:00:00
BATA,insufficient_history,99,2026-06-30 14:30:00
BBMD,insufficient_history,112,2026-07-30 15:30:00
BHAT,stale_or_suspended,120,2026-06-29 15:30:00
BLTZ,insufficient_history,12,2026-07-16 10:30:00
BOSS,insufficient_history,58,2026-07-30 09:00:00
BSWD,insufficient_history,7,2026-07-28 11:30:00
BTEL,insufficient_history,1,2026-07-17 09:00:00
CANI,insufficient_history,108,2026-06-30 14:30:00
CBMF,insufficient_history,1,2026-07-17 09:00:00
CMPP,insufficient_history,105,2026-06-30 14:30:00
CNKO,insufficient_history,114,2026-06-30 14:30:00
CNTB,insufficient_history,1,2026-07-17 09:00:00
COWL,insufficient_history,1,2026-07-17 09:00:00
CPRI,insufficient_history,1,2026-07-17 09:00:00
CRAB,stale_or_suspended,120,2026-06-29 15:30:00
DEAL,insufficient_history,58,2026-07-30 09:00:00
DIGI,insufficient_history,114,2026-06-30 14:30:00
DUCK,insufficient_history,1,2026-07-17 09:00:00
DUTI,insufficient_history,101,2026-07-30 11:30:00
ENVY,insufficient_history,1,2026-07-17 09:00:00
ETWA,insufficient_history,58,2026-07-30 09:00:00
FOOD,insufficient_history,85,2026-06-30 14:30:00
GAMA,insufficient_history,1,2026-07-17 09:00:00
GOLL,insufficient_history,1,2026-07-17 09:00:00
GTBO,stale_or_suspended,120,2026-06-29 11:30:00
HILL,insufficient_history,110,2026-06-29 14:30:00
HKMU,insufficient_history,1,2026-07-17 09:00:00
HOME,insufficient_history,1,2026-07-17 09:00:00
HOTL,insufficient_history,1,2026-07-17 09:00:00
IBFN,insufficient_history,111,2026-06-30 14:30:00
IIKP,insufficient_history,1,2026-07-17 09:00:00
INCF,stale_or_suspended,120,2026-06-29 11:00:00
INDX,stale_or_suspended,120,2026-06-29 15:30:00
INTA,insufficient_history,113,2026-06-30 14:30:00
JMAS,stale_or_suspended,120,2026-06-29 15:30:00
JSKY,insufficient_history,1,2026-07-17 09:00:00
KARW,insufficient_history,104,2026-06-30 14:30:00
KAYU,insufficient_history,58,2026-07-30 09:00:00
KBRI,insufficient_history,1,2026-07-17 09:00:00
KOIN,insufficient_history,77,2026-06-30 14:30:00
LCGP,insufficient_history,1,2026-07-17 09:00:00
LMAS,insufficient_history,1,2026-07-17 09:00:00
MABA,insufficient_history,1,2026-07-17 09:00:00
MAGP,insufficient_history,1,2026-07-17 09:00:00
MARI,insufficient_history,114,2026-06-30 14:30:00
MDRN,insufficient_history,114,2026-06-30 14:30:00
META,insufficient_history,58,2026-07-30 09:00:00
MREI,stale_or_suspended,120,2026-06-29 09:00:00
MTFN,insufficient_history,114,2026-06-30 14:30:00
MTRA,insufficient_history,1,2026-07-17 09:00:00
MYTX,insufficient_history,104,2026-06-30 11:30:00
NUSA,insufficient_history,1,2026-07-17 09:00:00
OCAP,insufficient_history,1,2026-07-17 09:00:00
PLAS,insufficient_history,1,2026-07-17 09:00:00
POOL,insufficient_history,1,2026-07-17 09:00:00
POSA,insufficient_history,1,2026-07-17 09:00:00
PURE,insufficient_history,1,2026-07-17 09:00:00
RDTX,insufficient_history,111,2026-07-30 14:30:00
RIMO,insufficient_history,1,2026-07-17 09:00:00
SCPI,insufficient_history,1,2026-07-17 09:00:00
SIMA,insufficient_history,1,2026-07-17 09:00:00
SKYB,insufficient_history,1,2026-07-17 09:00:00
SMRU,insufficient_history,1,2026-07-17 09:00:00
SOSS,insufficient_history,97,2026-07-29 14:30:00
SOUL,stale_or_suspended,120,2026-06-30 15:00:00
SRIL,insufficient_history,1,2026-07-17 09:00:00
SUGI,insufficient_history,1,2026-07-17 09:00:00
TAYS,stale_or_suspended,120,2026-06-29 15:00:00
TDPM,insufficient_history,1,2026-07-17 09:00:00
TECH,insufficient_history,1,2026-07-17 09:00:00
TFCO,insufficient_history,53,2026-07-30 14:30:00
TIRT,insufficient_history,114,2026-06-30 14:30:00
TRAM,insufficient_history,1,2026-07-17 09:00:00
TRIL,insufficient_history,1,2026-07-17 09:00:00
TRIO,insufficient_history,1,2026-07-17 09:00:00
TRUE,stale_or_suspended,120,2026-06-29 15:30:00
UNIT,insufficient_history,1,2026-07-17 09:00:00
UNSP,insufficient_history,114,2026-06-30 14:30:00
WSBP,insufficient_history,114,2026-06-30 14:30:00
WSKT,insufficient_history,1,2026-07-17 09:00:00
