ticker,rows,start,end,zero_volume,sector,subsector
AADI,391,2024-12-05,2026-07-31,4,Energi,"Minyak, Gas & Batu Bara"
AALI,1235,2021-06-16,2026-07-31,4,Barang Konsumen Primer,Makanan & Minuman
ABBA,1235,2021-06-16,2026-07-31,34,Barang Konsumen Non-Primer,Media & Hiburan
ABDA,1235,2021-06-16,2026-07-31,878,Keuangan,Asuransi
ABMM,1235,2021-06-16,2026-07-31,4,Energi,"Minyak, Gas & Batu Bara"
ACES,1235,2021-06-16,2026-07-31,4,Barang Konsumen Non-Primer,Perdagangan Ritel
ACRO,605,2024-01-11,2026-07-31,7,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
ACST,1235,2021-06-16,2026-07-31,5,Infrastruktur,Konstruksi Bangunan
ADCP,1062,2022-02-23,2026-07-31,46,Properti & Real Estat,Properti & Real Estat
ADES,1235,2021-06-16,2026-07-31,5,Barang Konsumen Primer,Makanan & Minuman
ADHI,1235,2021-06-16,2026-07-31,4,Infrastruktur,Konstruksi Bangunan
ADMF,1235,2021-06-16,2026-07-31,4,Keuangan,Jasa Pembiayaan
ADMG,1235,2021-06-16,2026-07-31,4,Barang Baku,Barang Baku
ADMR,1097,2022-01-03,2026-07-31,12,Energi,"Minyak, Gas & Batu Bara"
ADRO,1235,2021-06-16,2026-07-31,4,Energi,"Minyak, Gas & Batu Bara"
AEGS,689,2023-09-11,2026-07-31,7,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif
AGAR,1235,2021-06-16,2026-07-31,126,Barang Konsumen Primer,Makanan & Minuman
AGII,1235,2021-06-16,2026-07-31,17,Barang Baku,Barang Baku
AGRO,1235,2021-06-16,2026-07-31,4,Keuangan,Bank
AGRS,1235,2021-06-16,2026-07-31,4,Keuangan,Bank
AHAP,1235,2021-06-16,2026-07-31,11,Keuangan,Asuransi
AIMS,1235,2021-06-16,2026-07-31,25,Energi,"Minyak, Gas & Batu Bara"
AISA,1235,2021-06-16,2026-07-31,4,Barang Konsumen Primer,Makanan & Minuman
AKKU,1238,2021-06-16,2026-07-31,237,Barang Konsumen Non-Primer,Jasa Konsumen
AKPI,1235,2021-06-16,2026-07-31,12,Barang Baku,Barang Baku
AKRA,1235,2021-06-16,2026-07-31,5,Energi,"Minyak, Gas & Batu Bara"
AKSI,1235,2021-06-16,2026-07-31,15,Transportasi & Logistik,Logistik & Pengantaran
ALDO,1235,2021-06-16,2026-07-31,5,Barang Baku,Barang Baku
ALII,586,2024-02-07,2026-07-31,13,Energi,"Minyak, Gas & Batu Bara"
ALKA,1235,2021-06-16,2026-07-31,11,Barang Baku,Barang Baku
ALMI,1238,2021-06-16,2026-07-31,430,Barang Baku,Barang Baku
ALTO,1238,2021-06-16,2026-07-31,286,Barang Konsumen Primer,Makanan & Minuman
AMAG,1235,2021-06-16,2026-07-31,4,Keuangan,Asuransi
AMAN,1235,2021-06-16,2026-07-31,5,Properti & Real Estat,Properti & Real Estat
AMAR,1235,2021-06-16,2026-07-31,4,Keuangan,Bank
AMFG,1235,2021-06-16,2026-07-31,20,Perindustrian,Barang Perindustrian
AMIN,1235,2021-06-16,2026-07-31,6,Perindustrian,Barang Perindustrian
AMMN,733,2023-07-07,2026-07-31,7,Barang Baku,Barang Baku
AMMS,957,2022-08-04,2026-07-31,34,Barang Konsumen Primer,Makanan & Minuman
AMOR,1235,2021-06-16,2026-07-31,21,Keuangan,Jasa Investasi
AMRT,1235,2021-06-16,2026-07-31,4,Barang Konsumen Primer,Perdagangan Ritel Barang Primer
ANDI,1235,2021-06-16,2026-07-31,42,Barang Konsumen Primer,Makanan & Minuman
ANJT,1235,2021-06-16,2026-07-31,4,Barang Konsumen Primer,Makanan & Minuman
ANTM,1235,2021-06-16,2026-07-31,4,Barang Baku,Barang Baku
APEX,1235,2021-06-16,2026-07-31,6,Energi,"Minyak, Gas & Batu Bara"
APIC,1235,2021-06-16,2026-07-31,4,Keuangan,Perusahaan Holding & Investasi
APII,1235,2021-06-16,2026-07-31,13,Perindustrian,Barang Perindustrian
APLI,1235,2021-06-16,2026-07-31,66,Barang Baku,Barang Baku
APLN,1235,2021-06-16,2026-07-31,4,Properti & Real Estat,Properti & Real Estat
ARCI,1227,2021-06-28,2026-07-31,12,Barang Baku,Barang Baku
AREA,554,2024-04-01,2026-07-31,13,Teknologi,Perangkat Lunak & Jasa TI
ARGO,1235,2021-06-16,2026-07-31,546,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
ARII,1235,2021-06-16,2026-07-31,4,Energi,"Minyak, Gas & Batu Bara"
ARKA,1235,2021-06-16,2026-07-31,31,Perindustrian,Barang Perindustrian
ARKO,976,2022-07-08,2026-07-31,28,Infrastruktur,Utilitas
ARMY,1,2026-07-17,2026-07-17,1,Properti & Real Estat,Properti & Real Estat
ARNA,1235,2021-06-16,2026-07-31,5,Perindustrian,Barang Perindustrian
