ticker,last_close,expected_close_20d,expected_return_20d,median_return_20d,probability_up,downside_p10,expected_peak_return_20d,forecast_dispersion,predicted_up,rank
HOPE,204.0,271.55072,0.33113096648571544,0.2260757147097121,1.0,0.045087373022939664,0.3943612640979243,0.4232602021559787,True,1
NANO,30.0,38.34306,0.27810203552246093,0.37707150777180987,0.6,-0.11732223510742183,0.36347963968912755,0.3689985517226115,True,2
MGNA,123.0,148.30438,0.20572668556275406,0.1215721068343496,0.8,-0.07602650712176066,0.5532385725315994,0.32674811858971026,True,3
MCAS,260.0,309.8011,0.19154265183668873,-0.19394724919245798,0.2,-0.3442959477351262,0.32045551006610584,1.0247341285323643,False,4
WGSH,156.0,184.43466,0.18227345393254205,0.18426386515299487,1.0,0.1564765147673778,0.24321431869115587,0.025227098705627626,True,5
CTTH,127.0,148.20099,0.1669369554895115,-0.09454628050796632,0.2,-0.15910616897222563,0.2951723233921321,0.6453804475271474,False,6
KKES,67.0,77.18587,0.15202777919484606,0.16869126504926535,0.8,0.03217279234928874,0.18572362643569265,0.12072600373933425,True,7
AMMN,3980.0,4448.1943,0.11763675555511939,0.10797775498586692,0.8,-0.008608042654679647,0.14766292399497494,0.13619088859076728,True,8
BRPT,1790.0,1969.9752,0.10054482912884077,0.053812685492318435,0.8,-0.07179377891497907,0.15700459911836587,0.24007807869495248,True,9
VKTR,720.0,786.658,0.09258060031467016,0.16982277764214415,0.6,-0.1418918863932292,0.16911554972330733,0.21322836669585524,True,10
GULA,855.0,932.95654,0.09117724323830409,0.06204855400219289,1.0,0.03148773014894015,0.1337713444581506,0.06780154133053673,True,11
RSCH,310.0,338.04785,0.0904769602129536,0.09834811302923385,1.0,0.04555028115549389,0.13707308861517134,0.046038639387595566,True,12
IKAI,20.0,21.786257,0.08931280136108395,0.08878698348999015,0.8,-0.02829162597656256,0.12482831954956053,0.11790444120278329,True,13
BKDP,169.0,182.92952,0.08242315709943608,0.08115292159763321,1.0,0.04438698672683992,0.08659967727209694,0.045221751661656075,True,14
