ticker,reason,bars,last_date
ARMY,insufficient_history,1,2026-07-17
BTEL,insufficient_history,1,2026-07-17
CBMF,insufficient_history,1,2026-07-17
CNTB,insufficient_history,1,2026-07-17
COWL,insufficient_history,1,2026-07-17
CPRI,insufficient_history,1,2026-07-17
DUCK,insufficient_history,1,2026-07-17
ENVY,insufficient_history,1,2026-07-17
GAMA,insufficient_history,1,2026-07-17
GOLL,insufficient_history,1,2026-07-17
GOTOM,insufficient_history,0,
HKMU,insufficient_history,1,2026-07-17
HOME,insufficient_history,1,2026-07-17
HOTL,insufficient_history,1,2026-07-17
IIKP,insufficient_history,1,2026-07-17
JSKY,insufficient_history,1,2026-07-17
KBRI,insufficient_history,1,2026-07-17
LCGP,insufficient_history,1,2026-07-17
LMAS,insufficient_history,1,2026-07-17
MABA,insufficient_history,1,2026-07-17
MAGP,insufficient_history,1,2026-07-17
MTRA,insufficient_history,1,2026-07-17
NUSA,insufficient_history,1,2026-07-17
OCAP,insufficient_history,1,2026-07-17
PLAS,insufficient_history,1,2026-07-17
POOL,insufficient_history,1,2026-07-17
POSA,insufficient_history,1,2026-07-17
PURE,insufficient_history,1,2026-07-17
RIMO,insufficient_history,1,2026-07-17
SCPI,insufficient_history,1,2026-07-17
SIMA,insufficient_history,1,2026-07-17
SKYB,insufficient_history,1,2026-07-17
SMRU,insufficient_history,1,2026-07-17
SRIL,insufficient_history,1,2026-07-17
SUGI,insufficient_history,1,2026-07-17
TDPM,insufficient_history,1,2026-07-17
TECH,insufficient_history,1,2026-07-17
TRAM,insufficient_history,1,2026-07-17
TRIL,insufficient_history,1,2026-07-17
TRIO,insufficient_history,1,2026-07-17
UNIT,insufficient_history,1,2026-07-17
WBSA,insufficient_history,78,2026-07-30
WSKT,insufficient_history,1,2026-07-17
