horizon_day,date,ticker,previous_expected_close,expected_close,expected_daily_return,median_daily_return,probability_daily_up,downside_p10,upside_p90,rank
1,2026-08-03,HILL,16.0,18.566862,0.16042888,0.16042888,1.0,0.16042888164520264,0.16042888164520264,1
1,2026-08-03,BWPT,89.0,96.88271,0.088569835,0.10983741,1.0,0.04816875606775284,0.10983741283416748,2
1,2026-08-03,PADA,144.0,153.8887,0.06867151,0.10347974,0.8,-0.03020024299621582,0.15254180133342743,3
1,2026-08-03,VKTR,730.0,774.7904,0.061356783,0.0809598,1.0,0.022923732176423073,0.08780951052904129,4
1,2026-08-03,VIVA,42.0,44.270943,0.054069974,0.051300645,1.0,0.019662808626890182,0.092384472489357,5
1,2026-08-03,SOHO,1200.0,1264.6866,0.05390551,0.046393394,1.0,0.046123504638671875,0.06925360858440399,6
1,2026-08-03,UNSP,206.0,216.57227,0.051321626,0.051321626,1.0,0.05132162570953369,0.05132162570953369,7
1,2026-08-03,TAMA,254.0,266.89563,0.050770164,0.04678774,1.0,0.011427665129303932,0.09228084236383438,8
1,2026-08-03,MSIE,96.0,100.82402,0.05025022,0.04473865,1.0,0.03899223729968071,0.06769458949565887,9
1,2026-08-03,RATU,5150.0,5398.14,0.048182584,0.034009457,1.0,0.01594552956521511,0.0891367644071579,10
1,2026-08-03,HOMI,177.0,185.3021,0.046904515,0.036902905,1.0,0.03690290451049805,0.0668499618768692,11
1,2026-08-03,CANI,135.0,141.3057,0.046708822,0.051344275,1.0,0.03802523761987686,0.05161750316619873,12
1,2026-08-03,JSPT,1470.0,1533.9425,0.043498266,0.05336225,0.6,-0.03755345195531845,0.12474212050437927,13
1,2026-08-03,KAQI,97.0,101.04663,0.041717865,0.02421546,0.6,-0.008406984619796276,0.11245409399271011,14
1,2026-08-03,MLPT,1590.0,1655.8167,0.041394114,0.048722982,1.0,0.007299995515495539,0.07302320003509521,15
1,2026-08-03,BEEF,392.0,407.71823,0.040097523,0.03111744,0.8,0.009083819575607777,0.07585663348436356,16
1,2026-08-03,FUTR,280.0,291.17856,0.03992345,0.04310167,1.0,0.02074730396270752,0.05798609182238579,17
1,2026-08-03,OASA,324.0,336.53412,0.038685583,0.035707235,1.0,0.012287711724638939,0.07154686003923416,18
1,2026-08-03,NSSS,1105.0,1146.9672,0.037979342,0.03400278,0.8,-0.0066144224256277084,0.08438670635223389,19
1,2026-08-03,SOLA,96.0,99.51779,0.036643695,0.03843105,1.0,0.013416195288300514,0.057883523404598236,20
1,2026-08-03,KKES,66.0,68.38536,0.03614192,0.04712236,1.0,0.007187485694885254,0.06081650033593178,21
1,2026-08-03,TPIA,2160.0,2237.5562,0.03590572,0.03604138,1.0,0.017957139760255814,0.05518133193254471,22
1,2026-08-03,PKPK,3930.0,4068.3735,0.035209466,0.045686483,1.0,0.005435967352241278,0.061055753380060196,23
1,2026-08-03,DOSS,163.0,168.71237,0.035045244,0.042987704,1.0,0.00281696324236691,0.06626930087804794,24
